[PC Hunter Standard][ObjectType Hook]: 384
函数名		当前函数地址		Hook		原始函数地址		Object类型		Object地址		当前函数地址所在模块
CmpCloseKeyObject		0xFFFFF8046045DB30		-		-		CmpKeyObjectType		0xFFFFF804603462F0		C:\Windows\system32\ntoskrnl.exe
CmpDeleteKeyObject		0xFFFFF804603FAC50		-		-		CmpKeyObjectType		0xFFFFF804603462F0		C:\Windows\system32\ntoskrnl.exe
CmpParseKey		0xFFFFF804603FC730		-		-		CmpKeyObjectType		0xFFFFF804603462F0		C:\Windows\system32\ntoskrnl.exe
CmpSecurityMethod		0xFFFFF8046049E000		-		-		CmpKeyObjectType		0xFFFFF804603462F0		C:\Windows\system32\ntoskrnl.exe
CmpQueryKeyName		0xFFFFF804604959A0		-		-		CmpKeyObjectType		0xFFFFF804603462F0		C:\Windows\system32\ntoskrnl.exe
IopCloseFile		0xFFFFF804603F7790		-		-		IoFileObjectType		0xFFFFF80460346300		C:\Windows\system32\ntoskrnl.exe
IopDeleteFile		0xFFFFF804603F7A50		-		-		IoFileObjectType		0xFFFFF80460346300		C:\Windows\system32\ntoskrnl.exe
IopParseFile		0xFFFFF804603A90E0		-		-		IoFileObjectType		0xFFFFF80460346300		C:\Windows\system32\ntoskrnl.exe
IopGetSetSecurityObject		0xFFFFF804604A2C10		-		-		IoFileObjectType		0xFFFFF80460346300		C:\Windows\system32\ntoskrnl.exe
IopQueryName		0xFFFFF804604A1870		-		-		IoFileObjectType		0xFFFFF80460346300		C:\Windows\system32\ntoskrnl.exe
IopDeleteDriver		0xFFFFF804604FA110		-		-		IoDriverObjectType		0xFFFFF80460346420		C:\Windows\system32\ntoskrnl.exe
SeDefaultObjectMethod		0xFFFFF8046049EE60		-		0xFFFFF8046049EE60		IoDriverObjectType		0xFFFFF80460346420		C:\Windows\system32\ntoskrnl.exe
IopDeleteDevice		0xFFFFF804604B7350		-		-		IoDeviceObjectType		0xFFFFF80460346820		C:\Windows\system32\ntoskrnl.exe
IopParseDevice		0xFFFFF804603F90E0		-		-		IoDeviceObjectType		0xFFFFF80460346820		C:\Windows\system32\ntoskrnl.exe
IopGetSetSecurityObject		0xFFFFF804604A2C10		-		-		IoDeviceObjectType		0xFFFFF80460346820		C:\Windows\system32\ntoskrnl.exe
IopCloseIoCompletion		0xFFFFF804603A7E60		-		-		IoCompletionObjectType		0xFFFFF80460346460		C:\Windows\system32\ntoskrnl.exe
IopDeleteIoCompletion		0xFFFFF804603A7E90		-		-		IoCompletionObjectType		0xFFFFF80460346460		C:\Windows\system32\ntoskrnl.exe
SeDefaultObjectMethod		0xFFFFF8046049EE60		-		0xFFFFF8046049EE60		IoCompletionObjectType		0xFFFFF80460346460		C:\Windows\system32\ntoskrnl.exe
PspJobClose		0xFFFFF804603E7DA0		-		-		PsJobType		0xFFFFF804603463F0		C:\Windows\system32\ntoskrnl.exe
PspJobDelete		0xFFFFF8045FE52410		-		-		PsJobType		0xFFFFF804603463F0		C:\Windows\system32\ntoskrnl.exe
SeDefaultObjectMethod		0xFFFFF8046049EE60		-		0xFFFFF8046049EE60		PsJobType		0xFFFFF804603463F0		C:\Windows\system32\ntoskrnl.exe
PspThreadOpen		0xFFFFF8046048CB30		-		-		PsThreadType		0xFFFFF804603462F8		C:\Windows\system32\ntoskrnl.exe
PspThreadDelete		0xFFFFF8046043EDF0		-		-		PsThreadType		0xFFFFF804603462F8		C:\Windows\system32\ntoskrnl.exe
