[PC Hunter Standard][Kernel Hook]: 3093
挂钩对象		挂钩位置		钩子类型		挂钩处当前值		挂钩处原始值
[*]len(2) [hal.dll]		[0xFFFFF80460875523]->[-]		Inline		00 FA		80 F6
[*]len(2) [hal.dll]		[0xFFFFF8046087668C]->[-]		Inline		00 FA		80 F6
[*]len(2) [hal.dll]		[0xFFFFF8046088657F]->[-]		Inline		00 FA		80 F6
[*]len(2) [hal.dll]		[0xFFFFF804608869FD]->[-]		Inline		00 FA		80 F6
[*]len(2) [hal.dll]		[0xFFFFF80460886BE5]->[-]		Inline		00 FA		80 F6
[*]len(5) [hal.dll]		[0xFFFFF80460886C85]->[-]		Inline		40 9F 3E 7D FA		D0 BE 7D FB F6
[*]len(4) [hal.dll]		[0xFFFFF80460886CB6]->[-]		Inline		80 3E 7D FA		A0 7D FB F6
[*]len(3) [hal.dll]		[0xFFFFF80460886CE9]->[-]		Inline		00 7D FA		40 FB F6
[*]len(2) [hal.dll]		[0xFFFFF80460886D11]->[-]		Inline		00 FA		80 F6
[*]len(2) [hal.dll]		[0xFFFFF804608897E7]->[-]		Inline		00 FA		80 F6
[*]len(3) ExFreePoolWithTag[ntoskrnl.exe]		[0xFFFFF8046014ED2E]->[-]		Inline		00 7D FA		40 FB F6
[*]len(2) MmAreMdlPagesCached[ntoskrnl.exe]		[0xFFFFF8045FF3DFC4]->[-]		Inline		00 97		80 FA
[*]len(2) MmBuildMdlForNonPagedPool[ntoskrnl.exe]		[0xFFFFF8045FE5526C]->[-]		Inline		00 FA		80 F6
[*]len(2) MmCopyMemory[ntoskrnl.exe]		[0xFFFFF8045FE5787C]->[-]		Inline		00 97		80 FA
[*]len(2) MmGetVirtualForPhysical[ntoskrnl.exe]		[0xFFFFF804600AB5D4]->[-]		Inline		00 97		80 FA
[*]len(2) MmMarkPhysicalMemoryAsBad[ntoskrnl.exe]		[0xFFFFF804600A8E5F]->[-]		Inline		00 97		80 FA
[*]len(2) MmProbeAndLockSelectedPages[ntoskrnl.exe]		[0xFFFFF8045FE6943F]->[-]		Inline		00 FA		80 F6
[*]len(2) MmProtectMdlSystemAddress[ntoskrnl.exe]		[0xFFFFF804600AB6D2]->[-]		Inline		00 FA		80 F6
[*]len(2) MmUnlockPages[ntoskrnl.exe]		[0xFFFFF8045FEBC279]->[-]		Inline		00 97		80 FA
[*]len(2) MmUnmapIoSpace[ntoskrnl.exe]		[0xFFFFF8045FE09BBE]->[-]		Inline		00 FA		80 F6
[*]len(2) MmUnmapVideoDisplay[ntoskrnl.exe]		[0xFFFFF8045FE09BBE]->[-]		Inline		00 FA		80 F6
[*]len(2) NtGetWriteWatch[ntoskrnl.exe]		[0xFFFFF8045FE75715]->[-]		Inline		00 FA		80 F6
[*]len(2) NtLockVirtualMemory[ntoskrnl.exe]		[0xFFFFF8045FE6A702]->[-]		Inline		00 FA		80 F6
[*]len(2) NtUnlockVirtualMemory[ntoskrnl.exe]		[0xFFFFF8045FE79AED]->[-]		Inline		00 FA		80 F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FE04071]->[-]		Inline		00 FA		80 F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FE0407E]->[-]		Inline		00 97		80 FA
len(2) [ntoskrnl.exe]		[0xFFFFF8045FE05B58]->[-]		Inline		00 FA		80 F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FE05B8E]->[-]		Inline		40 9F 3E 7D FA		D0 BE 7D FB F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FE05BA2]->[-]		Inline		47 9F 3E 7D FA		D7 BE 7D FB F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FE07CC9]->[-]		Inline		00 97		80 FA
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FE07D99]->[-]		Inline		00 FA		80 F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FE07DD6]->[-]		Inline		7F FA		FF F6
[*]len(3) [ntoskrnl.exe]		[0xFFFFF8045FE07E1D]->[-]		Inline		00 7D FA		40 FB F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FE07F43]->[-]		Inline		40 9F 3E 7D FA		D0 BE 7D FB F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FE07F57]->[-]		Inline		47 9F 3E 7D FA		D7 BE 7D FB F6
[*]len(3) [ntoskrnl.exe]		[0xFFFFF8045FE0805A]->[-]		Inline		3F 7D FA		7F FB F6
[*]len(6) [ntoskrnl.exe]		[0xFFFFF8045FE0806A]->[-]		Inline		A0 4F 9F 3E 7D FA		68 DF BE 7D FB F6
len(2) [ntoskrnl.exe]		[0xFFFFF8045FE080A0]->[-]		Inline		7F FA		FF F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FE080AA]->[-]		Inline		00 FA		80 F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FE08106]->[-]		Inline		00 FA		80 F6
[*]len(3) [ntoskrnl.exe]		[0xFFFFF8045FE08206]->[-]		Inline		00 7D FA		40 FB F6
len(3) [ntoskrnl.exe]		[0xFFFFF8045FE08210]->[-]		Inline		1F 7D FA		5F FB F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FE08221]->[-]		Inline		00 FA		80 F6
len(2) [ntoskrnl.exe]		[0xFFFFF8045FE09388]->[-]		Inline		00 FA		80 F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FE093FC]->[-]		Inline		00 FA		80 F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FE09559]->[-]		Inline		00 97		80 FA
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FE09615]->[-]		Inline		00 FA		80 F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FE09662]->[-]		Inline		00 FA		80 F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FE096E9]->[-]		Inline		00 97		80 FA
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FE0971E]->[-]		Inline		00 97		80 FA
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FE09A49]->[-]		Inline		00 97		80 FA
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FE09C4C]->[-]		Inline		00 FA		80 F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FE09D12]->[-]		Inline		00 FA		80 F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FE09E45]->[-]		Inline		00 97		80 FA
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FE0A63E]->[-]		Inline		00 97		80 FA
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FE0A673]->[-]		Inline		00 FA		80 F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FE0B8D1]->[-]		Inline		00 FA		80 F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FE0BDF4]->[-]		Inline		00 FA		80 F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FE0C086]->[-]		Inline		00 FA		80 F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FE0C2FD]->[-]		Inline		40 9F 3E 7D FA		D0 BE 7D FB F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FE0C31C]->[-]		Inline		47 9F 3E 7D FA		D7 BE 7D FB F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FE0C45B]->[-]		Inline		00 FA		80 F6
len(2) [ntoskrnl.exe]		[0xFFFFF8045FE0C558]->[-]		Inline		00 FA		80 F6
len(2) [ntoskrnl.exe]		[0xFFFFF8045FE0C5C0]->[-]		Inline		00 FA		80 F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FE0C5F2]->[-]		Inline		00 97		80 FA
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FE0C6FD]->[-]		Inline		00 FA		80 F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FE0C796]->[-]		Inline		00 97		80 FA
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FE0C82B]->[-]		Inline		00 FA		80 F6
len(2) [ntoskrnl.exe]		[0xFFFFF8045FE0C888]->[-]		Inline		00 97		80 FA
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FE0C8E3]->[-]		Inline		00 97		80 FA
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FE0CDAD]->[-]		Inline		00 FA		80 F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FE0D4E4]->[-]		Inline		00 FA		80 F6
[*]len(3) [ntoskrnl.exe]		[0xFFFFF8045FE0D507]->[-]		Inline		00 7D FA		40 FB F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FE0D885]->[-]		Inline		00 FA		80 F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FE0D92A]->[-]		Inline		00 FA		80 F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FE0D937]->[-]		Inline		40 9F 3E 7D FA		D0 BE 7D FB F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FE0D949]->[-]		Inline		47 9F 3E 7D FA		D7 BE 7D FB F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FE0DDBD]->[-]		Inline		00 FA		80 F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FE1055D]->[-]		Inline		40 9F 3E 7D FA		D0 BE 7D FB F6
