[PC Hunter Standard][DNF.exe-->Ring3 Hook]: 1051
挂钩对象		挂钩位置		钩子类型		挂钩处当前值		挂钩处原始值
len(7) ntdll.dll->RtlDispatchAPC		0x00000000773FBB20->_		inline		E9 C2 CD 34 98 CC CC		6A 2C 68 30 85 4D 77
len(7) ntdll.dll->DbgUiRemoteBreakin		0x000000007747B390->_		inline		E9 1B C9 C8 9A CC CC		6A 08 68 A8 95 4D 77
len(5) ntdll.dll->LdrInitializeThunk		0x0000000077435140->_		inline		E9 36 78 6D 9A		8B FF 55 8B EC
len(5) ntdll.dll->NtCreateThreadEx		0x0000000077441060->_		inline		E9 C3 CC 70 9A		B8 BC 00 00 00
len(5) ntdll.dll->NtQueryAttributesFile		0x0000000077440870->_		inline		E9 84 DB 16 9A		B8 3D 00 00 00
len(5) ntdll.dll->NtQueryValueKey		0x00000000774405F0->_		inline		E9 9B A5 23 9A		B8 17 00 00 00
len(5) ntdll.dll->NtQueryVirtualMemory		0x00000000774406D0->_		inline		E9 18 2B 31 98		B8 23 00 00 00
len(5) ntdll.dll->NtSetContextThread		0x0000000077441CE0->_		inline		E9 EB DB FB E5		B8 84 01 00 00
len(5) ntdll.dll->ZwCreateThreadEx		0x0000000077441060->_		inline		E9 C3 CC 70 9A		B8 BC 00 00 00
len(5) ntdll.dll->ZwQueryAttributesFile		0x0000000077440870->_		inline		E9 84 DB 16 9A		B8 3D 00 00 00
len(5) ntdll.dll->ZwQueryValueKey		0x00000000774405F0->_		inline		E9 9B A5 23 9A		B8 17 00 00 00
len(5) ntdll.dll->ZwQueryVirtualMemory		0x00000000774406D0->_		inline		E9 18 2B 31 98		B8 23 00 00 00
len(5) ntdll.dll->ZwSetContextThread		0x0000000077441CE0->_		inline		E9 EB DB FB E5		B8 84 01 00 00
[*]len(5) ntdll.dll		0x000000007743704C->_		inline		E9 8F F6 94 EA		8B FF 55 8B EC
KERNEL32.DLL->SetUnhandledExceptionFilter		0x00000000771923B0->0x0000000161D88800		Eat		00 88 C1 EA		B0 23 02 00
len(5) KERNEL32.DLL->CreateThreadpoolTimer		0x0000000077189DB0->_		inline		E9 7B 50 27 E6		8B FF 55 8B EC
len(5) KERNEL32.DLL->ExitProcess		0x0000000077194F20->_		inline		E9 45 60 F3 99		55 8B EC 6A FF
len(5) KERNEL32.DLL->GetPrivateProfileStringW		0x0000000077181210->_		inline		E9 4B DC 27 E6		8B FF 55 8B EC
len(6) KERNEL32.DLL->GetProcAddress		0x00000000771905A0->_		inline		68 40 1F C1 0F C3		8B FF 55 8B EC FF
len(5) KERNEL32.DLL->OpenFileMappingA		0x00000000771889F0->_		inline		E9 19 82 F5 9A		8B FF 55 8B EC
len(5) KERNEL32.DLL->OpenFileMappingW		0x00000000771929A0->_		inline		E9 15 C2 F4 9A		8B FF 55 8B EC
len(5) KERNEL32.DLL->SetUnhandledExceptionFilter		0x00000000771923B0->_		inline		E9 4B 64 BF EA		8B FF 55 8B EC
len(5) KERNEL32.DLL->TerminateProcess		0x000000007718A380->_		inline		E9 62 A8 F5 99		8B FF 55 8B EC
len(5) KERNEL32.DLL->TerminateThread		0x00000000771A5E80->_		inline		E9 81 27 4F 98		8B FF 55 8B EC
len(5) KERNEL32.DLL->VirtualProtect		0x0000000077190C10->_		inline		E9 9B E1 26 E6		8B FF 55 8B EC
len(5) KERNEL32.DLL->WritePrivateProfileStringA		0x0000000077189740->_		inline		E9 AB 56 27 E6		8B FF 55 8B EC
len(5) KERNELBASE.dll->RegCloseKey		0x000000007534E9D0->_		inline		E9 3F 5D 41 9A		8B FF 55 8B EC
len(5) KERNELBASE.dll->RegOpenKeyExW		0x000000007534DBE0->_		inline		E9 32 69 41 9A		8B FF 55 8B EC
len(5) KERNELBASE.dll->RegQueryValueExW		0x000000007534D620->_		inline		E9 B9 6F 41 9A		8B FF 55 8B EC
len(5) GDI32.dll->SetBkMode		0x00000000754D6F50->_		inline		E9 CB 6C F2 E7		8B FF 55 8B EC
len(5) GDI32.dll->SetTextColor		0x00000000754D6E10->_		inline		E9 FB 6F F2 E7		8B FF 55 8B EC
[*]len(5) USER32.dll->ActivateKeyboardLayout		0x0000000076FB63EC->_		inline		E9 77 42 9F 97		B8 00 10 00 00
len(10) USER32.dll->GetAsyncKeyState		0x0000000076F98C10->_		inline		E9 99 18 A1 97 E9 F6 56 46 E6		8B FF 55 8B EC 64 8B 0D 18 00
len(5) USER32.dll->GetCursorPos		0x0000000076F992C0->_		inline		E9 42 12 A1 97		8B FF 55 8B EC
[*]len(5) USER32.dll->GetKeyState		0x0000000076FB2595->_		inline		E9 26 BE 44 E6		64 A1 18 00 00
len(5) USER32.dll->GetKeyboardState		0x0000000076FB6D60->_		inline		E9 DB 75 44 E6		FF 25 30 6E 01
len(5) USER32.dll->GetMessageA		0x0000000076F98030->_		inline		E9 43 25 A1 97		8B FF 55 8B EC
len(5) USER32.dll->GetMessageW		0x0000000076FB3D80->_		inline		E9 1F 68 9F 97		8B FF 55 8B EC
len(6) USER32.dll->GetRawInputData		0x0000000076FB6EC0->_		inline		68 40 1B C1 0F C3		FF 25 D8 6D 01 77
len(5) USER32.dll->PeekMessageA		0x0000000076F969D0->_		inline		E9 35 3C A1 97		8B FF 55 8B EC
len(5) USER32.dll->PeekMessageW		0x0000000076FB0C70->_		inline		E9 C4 99 9F 97		8B FF 55 8B EC
len(5) USER32.dll->RegisterClassExW		0x0000000076FA2140->_		inline		E9 BB DE E5 A1		8B FF 55 8B EC
len(5) USER32.dll->RegisterHotKey		0x0000000076FB7400->_		inline		E9 BB 6E 44 E6		FF 25 88 6C 01
[*]len(5) USER32.dll->SetCursor		0x0000000076FB63EC->_		inline		E9 77 42 9F 97		B8 00 10 00 00
len(5) USER32.dll->SetCursorPos		0x0000000077001740->_		inline		E9 4B 8F 9A 97		8B FF 55 8B EC
len(5) USER32.dll->SetTimer		0x0000000076FB43F0->_		inline		E9 EB 9D 44 E6		8B FF 55 8B EC
len(5) USER32.dll->SetWindowLongA		0x0000000076F9BD20->_		inline		E9 5B 26 46 E6		8B FF 55 8B EC
len(5) win32u.dll->NtUserClipCursor		0x0000000075656370->_		inline		E9 8E 3E 35 99		B8 88 13 04 00
len(5) win32u.dll->NtUserShowCursor		0x0000000075657600->_		inline		E9 AE 30 35 99		B8 B1 14 00 00
len(5) IMM32.DLL->ImmAssociateContext		0x0000000075C84FE0->_		inline		E9 B4 58 D3 98		8B FF 55 8B EC
len(5) IMM32.DLL->ImmProcessKey		0x0000000075C92130->_		inline		E9 9B 84 D1 98		8B FF 55 8B EC
dinput8.dll->KERNEL32.dll:SetUnhandledExceptionFilter		0x00000000771923B0->0x0000000061D88800[f:\game\dnf\地下城与勇士\start\TenProtect\BugTrace.dll]		Iat		00 88 D8 61		B0 23 19 77
len(5) dinput8.dll->DirectInput8Create		0x0000000064E033B0->_		inline		E9 4B 25 15 B9		8B FF 55 8B EC
len(5) dinput8.dll		0x0000000064E05110->_		inline		E9 CB 0A 15 B9		8B FF 55 8B EC
len(5) dinput8.dll		0x0000000064E12700->_		inline		E9 21 7B B9 A9		8B FF 55 8B EC
len(5) dinput8.dll		0x0000000064E128C0->_		inline		E9 BB 33 14 B9		8B FF 55 8B EC
len(6) dinput8.dll		0x0000000064E190A0->_		inline		68 F0 FC C0 0F C3		8B FF 55 8B EC 56
len(5) MSCTF.dll		0x0000000076729B30->_		inline		E9 C3 06 29 98		8B FF 55 8B EC
VSDDrvDLL.dll->KERNEL32.dll:SetUnhandledExceptionFilter		0x00000000771923B0->0x0000000061D88800[f:\game\dnf\地下城与勇士\start\TenProtect\BugTrace.dll]		Iat		00 88 D8 61		B0 23 19 77
[*]TerSafe.dll->WS2_32.dll:[Ordinal:12]		0x0000000077126E00->0x0000000009D76E00		Iat		00 6E D7 09		00 6E 12 77
TerSafe.dll->WS2_32.dll:[Ordinal:22]		0x00000000771208D0->0x0000000009D708D0		Iat		D0 08 D7 09		D0 08 12 77
[*]TerSafe.dll->WS2_32.dll:[Ordinal:116]		0x0000000077125190->0x0000000009D75190		Iat		90 51 D7 09		90 51 12 77
TerSafe.dll->WS2_32.dll:[Ordinal:20]		0x0000000077115550->0x0000000009D65550		Iat		50 55 D6 09		50 55 11 77
[*]TerSafe.dll->WS2_32.dll:[Ordinal:112]		0x0000000077127400->0x0000000009D77400		Iat		00 74 D7 09		00 74 12 77
TerSafe.dll->WS2_32.dll:[Ordinal:5]		0x00000000771215E0->0x0000000009D715E0		Iat		E0 15 D7 09		E0 15 12 77
[*]TerSafe.dll->WS2_32.dll:WSAIoctl		0x000000007711EDD0->0x0000000009D6EDD0		Iat		D0 ED D6 09		D0 ED 11 77
TerSafe.dll->WS2_32.dll:getaddrinfo		0x0000000077116310->0x0000000009D66310		Iat		10 63 D6 09		10 63 11 77
[*]TerSafe.dll->WS2_32.dll:[Ordinal:6]		0x000000007711F7A0->0x0000000009D6F7A0		Iat		A0 F7 D6 09		A0 F7 11 77
TerSafe.dll->WS2_32.dll:[Ordinal:151]		0x00000000771269B0->0x0000000009D769B0		Iat		B0 69 D7 09		B0 69 12 77
[*]TerSafe.dll->WS2_32.dll:[Ordinal:111]		0x00000000771270C0->0x0000000009D770C0		Iat		C0 70 D7 09		C0 70 12 77
TerSafe.dll->WS2_32.dll:[Ordinal:115]		0x00000000771219A0->0x0000000009D719A0		Iat		A0 19 D7 09		A0 19 12 77
[*]TerSafe.dll->WS2_32.dll:[Ordinal:52]		0x000000007713DE30->0x0000000009D8DE30		Iat		30 DE D8 09		30 DE 13 77
TerSafe.dll->WS2_32.dll:freeaddrinfo		0x00000000771159C0->0x0000000009D659C0		Iat		C0 59 D6 09		C0 59 11 77
