[PC Hunter Standard][IDT]: 1536
Cpu序号		序号		函数名称		段选择子		当前函数地址		Hook		原始函数地址		当前函数地址所在模块
0		00		Divide error		0x02		0xFFFFF80460130100		-		0xFFFFF80460130100		C:\Windows\system32\ntoskrnl.exe
0		01		Debug		0x02		0xFFFFF80460130180		-		0xFFFFF80460130180		C:\Windows\system32\ntoskrnl.exe
0		02		Not used		0x02		0xFFFFF80460130200		-		0xFFFFF80460130200		C:\Windows\system32\ntoskrnl.exe
0		03		Breakpoint		0x02		0xFFFFF80460130280		-		0xFFFFF80460130280		C:\Windows\system32\ntoskrnl.exe
0		04		Overflow		0x02		0xFFFFF80460130300		-		0xFFFFF80460130300		C:\Windows\system32\ntoskrnl.exe
0		05		Bounds check		0x02		0xFFFFF80460130380		-		0xFFFFF80460130380		C:\Windows\system32\ntoskrnl.exe
0		06		Invalid opcode		0x02		0xFFFFF80460130400		-		0xFFFFF80460130400		C:\Windows\system32\ntoskrnl.exe
0		07		Device not available		0x02		0xFFFFF80460130480		-		0xFFFFF80460130480		C:\Windows\system32\ntoskrnl.exe
0		08		Double fault		0x02		0xFFFFF80460130500		-		0xFFFFF80460130500		C:\Windows\system32\ntoskrnl.exe
0		09		Coprocessor segment overrun		0x02		0xFFFFF80460130580		-		0xFFFFF80460130580		C:\Windows\system32\ntoskrnl.exe
0		0A		Invalid TSS		0x02		0xFFFFF80460130600		-		0xFFFFF80460130600		C:\Windows\system32\ntoskrnl.exe
0		0B		Segment not present		0x02		0xFFFFF80460130680		-		0xFFFFF80460130680		C:\Windows\system32\ntoskrnl.exe
0		0C		Stack segment fault		0x02		0xFFFFF80460130700		-		0xFFFFF80460130700		C:\Windows\system32\ntoskrnl.exe
0		0D		General protection		0x02		0xFFFFF80460130780		-		0xFFFFF80460130780		C:\Windows\system32\ntoskrnl.exe
0		0E		Page Fault		0x02		0xFFFFF80460130800		-		0xFFFFF80460130800		C:\Windows\system32\ntoskrnl.exe
0		0F		Reserved by Intel		0x02		0xFFFFF804601312F8		-		0xFFFFF804601312F8		C:\Windows\system32\ntoskrnl.exe
0		10		Floating-point error		0x02		0xFFFFF80460130880		-		0xFFFFF80460130880		C:\Windows\system32\ntoskrnl.exe
0		11		Alignment check		0x02		0xFFFFF80460130900		-		0xFFFFF80460130900		C:\Windows\system32\ntoskrnl.exe
0		12		Machine check		0x02		0xFFFFF80460130980		-		0xFFFFF80460130980		C:\Windows\system32\ntoskrnl.exe
0		13		SIMD floating point exception		0x02		0xFFFFF80460130A80		-		0xFFFFF80460130A80		C:\Windows\system32\ntoskrnl.exe
0		14		Reserved by Intel		0x02		0xFFFFF80460130B00		-		0xFFFFF80460130B00		C:\Windows\system32\ntoskrnl.exe
0		15		Reserved by Intel		0x02		0xFFFFF80460130B80		-		0xFFFFF80460130B80		C:\Windows\system32\ntoskrnl.exe
0		16		Reserved by Intel		0x02		0xFFFFF80460131330		-		0xFFFFF80460131330		C:\Windows\system32\ntoskrnl.exe
0		17		Reserved by Intel		0x02		0xFFFFF80460131338		-		0xFFFFF80460131338		C:\Windows\system32\ntoskrnl.exe
0		18		Reserved by Intel		0x02		0xFFFFF80460131340		-		0xFFFFF80460131340		C:\Windows\system32\ntoskrnl.exe
0		19		Reserved by Intel		0x02		0xFFFFF80460131348		-		0xFFFFF80460131348		C:\Windows\system32\ntoskrnl.exe
0		1A		Reserved by Intel		0x02		0xFFFFF80460131350		-		0xFFFFF80460131350		C:\Windows\system32\ntoskrnl.exe
0		1B		Reserved by Intel		0x02		0xFFFFF80460131358		-		0xFFFFF80460131358		C:\Windows\system32\ntoskrnl.exe
0		1C		Reserved by Intel		0x02		0xFFFFF80460131360		-		0xFFFFF80460131360		C:\Windows\system32\ntoskrnl.exe
0		1D		Reserved by Intel		0x02		0xFFFFF80460131368		-		0xFFFFF80460131368		C:\Windows\system32\ntoskrnl.exe
0		1E		Reserved by Intel		0x02		0xFFFFF80460131370		-		0xFFFFF80460131370		C:\Windows\system32\ntoskrnl.exe
0		1F		Reserved by Intel		0x02		0xFFFFF80460130C00		-		0xFFFFF80460130C00		C:\Windows\system32\ntoskrnl.exe
0		20		Not used		0x02		0xFFFFF80460130C80		-		0xFFFFF80460130C80		C:\Windows\system32\ntoskrnl.exe
0		21		Not used		0x02		0xFFFFF80460131388		-		0xFFFFF80460131388		C:\Windows\system32\ntoskrnl.exe
0		22		Not used		0x02		0xFFFFF80460131390		-		0xFFFFF80460131390		C:\Windows\system32\ntoskrnl.exe
0		23		Not used		0x02		0xFFFFF80460131398		-		0xFFFFF80460131398		C:\Windows\system32\ntoskrnl.exe
0		24		Not used		0x02		0xFFFFF804601313A0		-		0xFFFFF804601313A0		C:\Windows\system32\ntoskrnl.exe
0		25		Not used		0x02		0xFFFFF804601313A8		-		0xFFFFF804601313A8		C:\Windows\system32\ntoskrnl.exe
0		26		Not used		0x02		0xFFFFF804601313B0		-		0xFFFFF804601313B0		C:\Windows\system32\ntoskrnl.exe
0		27		Not used		0x02		0xFFFFF804601313B8		-		0xFFFFF804601313B8		C:\Windows\system32\ntoskrnl.exe
0		28		Not used		0x02		0xFFFFF804601313C0		-		0xFFFFF804601313C0		C:\Windows\system32\ntoskrnl.exe
0		29		Not used		0x02		0xFFFFF80460130D00		-		0xFFFFF80460130D00		C:\Windows\system32\ntoskrnl.exe
0		2A		KiGetTickCount		0x02		0xFFFFF804601313D0		-		0xFFFFF804601313D0		C:\Windows\system32\ntoskrnl.exe
0		2B		KiCallbackReturn		0x02		0xFFFFF804601313D8		-		0xFFFFF804601313D8		C:\Windows\system32\ntoskrnl.exe
0		2C		KiSetLowWaitHighThread		0x02		0xFFFFF80460130D80		-		0xFFFFF80460130D80		C:\Windows\system32\ntoskrnl.exe
0		2D		KiDebugService		0x02		0xFFFFF80460130E00		-		0xFFFFF80460130E00		C:\Windows\system32\ntoskrnl.exe
