[PC Hunter Standard][内核模块]: 203
驱动名		基地址		大小		驱动对象		驱动路径		服务名		加载顺序		文件厂商
ntoskrnl.exe		0xFFFFF8045FE03000		0x00A6E000		-		C:\Windows\system32\ntoskrnl.exe				0		Microsoft Corporation
hal.dll		0xFFFFF80460872000		0x00096000		-		C:\Windows\system32\hal.dll				1		Microsoft Corporation
kd.dll		0xFFFFF80460A00000		0x0000B000		-		C:\Windows\system32\kd.dll				2		Microsoft Corporation
mcupdate_GenuineIntel.dll		0xFFFFF80853730000		0x0018E000		-		C:\Windows\system32\mcupdate_GenuineIntel.dll				3		Microsoft Corporation
msrpc.sys		0xFFFFF808538C0000		0x00062000		-		C:\Windows\System32\drivers\msrpc.sys				4		Microsoft Corporation
ksecdd.sys		0xFFFFF80853930000		0x0002B000		0xFFFFCD87EC6CE060		C:\Windows\System32\drivers\ksecdd.sys		KSecDD		5		Microsoft Corporation
werkernel.sys		0xFFFFF80853960000		0x00011000		-		C:\Windows\System32\drivers\werkernel.sys				6		Microsoft Corporation
CLFS.SYS		0xFFFFF80853980000		0x0006A000		0xFFFFCD87EC6CC5C0		C:\Windows\System32\drivers\CLFS.SYS		CLFS		7		Microsoft Corporation
tm.sys		0xFFFFF80853600000		0x00027000		-		C:\Windows\System32\drivers\tm.sys				8		Microsoft Corporation
PSHED.dll		0xFFFFF80853630000		0x00018000		-		C:\Windows\system32\PSHED.dll				9		Microsoft Corporation
BOOTVID.dll		0xFFFFF80853650000		0x0000B000		-		C:\Windows\system32\BOOTVID.dll				10		Microsoft Corporation
FLTMGR.SYS		0xFFFFF80853660000		0x00070000		0xFFFFCD87EC63DC70		C:\Windows\System32\drivers\FLTMGR.SYS		FltMgr		11		Microsoft Corporation
clipsp.sys		0xFFFFF80854480000		0x0010A000		-		C:\Windows\System32\drivers\clipsp.sys				12		Microsoft Corporation
cmimcext.sys		0xFFFFF80854590000		0x0000E000		-		C:\Windows\System32\drivers\cmimcext.sys				13		Microsoft Corporation
ntosext.sys		0xFFFFF808545A0000		0x0000C000		-		C:\Windows\System32\drivers\ntosext.sys				14		Microsoft Corporation
CI.dll		0xFFFFF80853A00000		0x000D3000		-		C:\Windows\system32\CI.dll				15		Microsoft Corporation
cng.sys		0xFFFFF80853AE0000		0x000B7000		0xFFFFCD87EAAE9CF0		C:\Windows\System32\drivers\cng.sys		CNG		16		Microsoft Corporation
Wdf01000.sys		0xFFFFF80853BA0000		0x000D1000		0xFFFFCD87EAADBCF0		C:\Windows\system32\drivers\Wdf01000.sys		Wdf01000		17		Microsoft Corporation
WDFLDR.SYS		0xFFFFF80853C80000		0x00013000		-		C:\Windows\system32\drivers\WDFLDR.SYS				18		Microsoft Corporation
WppRecorder.sys		0xFFFFF80853CA0000		0x00010000		-		C:\Windows\system32\drivers\WppRecorder.sys				19		Microsoft Corporation
SleepStudyHelper.sys		0xFFFFF80853CC0000		0x0000F000		-		C:\Windows\system32\drivers\SleepStudyHelper.sys				20		Microsoft Corporation
acpiex.sys		0xFFFFF80853CD0000		0x00024000		0xFFFFCD87EAAD5CF0		C:\Windows\System32\Drivers\acpiex.sys		acpiex		21		Microsoft Corporation
mssecflt.sys		0xFFFFF80853D00000		0x00051000		0xFFFFCD87EAACDCF0		C:\Windows\system32\drivers\mssecflt.sys		MsSecFlt		22		Microsoft Corporation
SgrmAgent.sys		0xFFFFF80853D60000		0x0001A000		0xFFFFCD87EAB0DCF0		C:\Windows\system32\drivers\SgrmAgent.sys		SgrmAgent		23		Microsoft Corporation
ACPI.sys		0xFFFFF80853D80000		0x000C8000		0xFFFFCD87EAB0FCF0		C:\Windows\System32\drivers\ACPI.sys		ACPI		24		Microsoft Corporation
WMILIB.SYS		0xFFFFF80853E50000		0x0000C000		-		C:\Windows\System32\drivers\WMILIB.SYS				25		Microsoft Corporation
intelpep.sys		0xFFFFF80853E60000		0x00043000		0xFFFFCD87EAB44E40		C:\Windows\System32\drivers\intelpep.sys		intelpep		26		Microsoft Corporation
WindowsTrustedRT.sys		0xFFFFF80853EB0000		0x00016000		0xFFFFCD87EAA5EE20		C:\Windows\system32\drivers\WindowsTrustedRT.sys		WindowsTrustedRT		27		Microsoft Corporation
WindowsTrustedRTProxy.sys		0xFFFFF80853ED0000		0x0000B000		0xFFFFCD87EAF69D40		C:\Windows\System32\drivers\WindowsTrustedRTProxy.sys		WindowsTrustedRTProxy		28		Microsoft Corporation
pcw.sys		0xFFFFF80853EE0000		0x00014000		0xFFFFCD87EC63BE00		C:\Windows\System32\drivers\pcw.sys		pcw		29		Microsoft Corporation
msisadrv.sys		0xFFFFF80853F00000		0x0000B000		0xFFFFCD87EC63C8F0		C:\Windows\System32\drivers\msisadrv.sys		msisadrv		30		Microsoft Corporation
pci.sys		0xFFFFF80853F10000		0x0006B000		0xFFFFCD87EC63CD10		C:\Windows\System32\drivers\pci.sys		pci		31		Microsoft Corporation
vdrvroot.sys		0xFFFFF80853F80000		0x00012000		0xFFFFCD87EC566C70		C:\Windows\System32\drivers\vdrvroot.sys		vdrvroot		32		Microsoft Corporation
pdc.sys		0xFFFFF80853FA0000		0x0002E000		0xFFFFCD87EC5686A0		C:\Windows\system32\drivers\pdc.sys		pdc		33		Microsoft Corporation
CEA.sys		0xFFFFF80853FD0000		0x00019000		-		C:\Windows\system32\drivers\CEA.sys				34		Microsoft Corporation
partmgr.sys		0xFFFFF80853FF0000		0x0002F000		0xFFFFCD87EC5B58C0		C:\Windows\System32\drivers\partmgr.sys		partmgr		35		Microsoft Corporation
spaceport.sys		0xFFFFF80854020000		0x000A3000		0xFFFFCD87EC5B6060		C:\Windows\System32\drivers\spaceport.sys		spaceport		36		Microsoft Corporation
volmgr.sys		0xFFFFF808540D0000		0x00019000		0xFFFFCD87EC5B7590		C:\Windows\System32\drivers\volmgr.sys		volmgr		37		Microsoft Corporation
volmgrx.sys		0xFFFFF808540F0000		0x00063000		0xFFFFCD87EC5B7B60		C:\Windows\System32\drivers\volmgrx.sys		volmgrx		38		Microsoft Corporation
vsock.sys		0xFFFFF80854160000		0x00017000		0xFFFFCD87EC5B7D70		C:\Windows\system32\DRIVERS\vsock.sys		vsock		39		VMware, Inc.
vmci.sys		0xFFFFF80854180000		0x0001A000		0xFFFFCD87EC569CD0		C:\Windows\System32\drivers\vmci.sys		vmci		40		VMware, Inc.
mountmgr.sys		0xFFFFF808541A0000		0x0001F000		0xFFFFCD87EC56E350		C:\Windows\System32\drivers\mountmgr.sys		mountmgr		41		Microsoft Corporation
iaStorAC.sys		0xFFFFF80855110000		0x00B81000		0xFFFFCD87EC56E900		C:\Windows\System32\drivers\iaStorAC.sys		iaStorAC		42		Intel Corporation
storport.sys		0xFFFFF80855CA0000		0x0009B000		-		C:\Windows\System32\drivers\storport.sys				43		Microsoft Corporation
EhStorClass.sys		0xFFFFF80855D40000		0x0001C000		0xFFFFCD87EC551D70		C:\Windows\System32\drivers\EhStorClass.sys		EhStorClass		44		Microsoft Corporation
fileinfo.sys		0xFFFFF80855D60000		0x0001A000		0xFFFFCD87EC622B90		C:\Windows\System32\drivers\fileinfo.sys		FileInfo		45		Microsoft Corporation
Wof.sys		0xFFFFF80855D80000		0x0003E000		0xFFFFCD87EC6CAD60		C:\Windows\System32\Drivers\Wof.sys				46		Microsoft Corporation
Ntfs.sys		0xFFFFF80854600000		0x0028D000		0xFFFFCD87EC6CCA90		C:\Windows\System32\Drivers\Ntfs.sys				47		Microsoft Corporation
Fs_Rec.sys		0xFFFFF80854890000		0x0000D000		0xFFFFCD87EC6CE750		C:\Windows\System32\Drivers\Fs_Rec.sys				48		Microsoft Corporation
ndis.sys		0xFFFFF808548A0000		0x00153000		0xFFFFCD87EC6CFBA0		C:\Windows\system32\drivers\ndis.sys		NDIS		49		Microsoft Corporation
NETIO.SYS		0xFFFFF80854A00000		0x00095000		-		C:\Windows\system32\drivers\NETIO.SYS				50		Microsoft Corporation
ksecpkg.sys		0xFFFFF80854AA0000		0x00032000		0xFFFFCD87EC6D0C10		C:\Windows\System32\Drivers\ksecpkg.sys		KSecPkg		51		Microsoft Corporation
tcpip.sys		0xFFFFF80854AE0000		0x002DB000		0xFFFFCD87EC6D0E20		C:\Windows\System32\drivers\tcpip.sys		Tcpip		52		Microsoft Corporation
fwpkclnt.sys		0xFFFFF80854DC0000		0x00078000		-		C:\Windows\System32\drivers\fwpkclnt.sys				53		Microsoft Corporation
wfplwfs.sys		0xFFFFF80854E40000		0x00030000		0xFFFFCD87EC8F3D50		C:\Windows\System32\drivers\wfplwfs.sys		WFPLWFS		54		Microsoft Corporation
VmsProxy.sys		0xFFFFF80854E80000		0x0000E000		0xFFFFCD87EC7498F0		C:\Windows\system32\drivers\VmsProxy.sys		VmsProxy		55		Microsoft Corporation
